paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types
Chen_2023_PMID36996812,4DNESID7GI8N,CNCCs with CTCF deletion at SOX9 promoter (steps #7-58),Chromatin tracing of Sox9 in CNCC,H9,in vitro differentiated cells,stem cell derived cell line,H9,None,Crispr deletion for CTCF binding site at SOX9 promoter,multiplexed FISH,2,2,1,4DNFI5TSGDPR,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/29c28d89-0daf-4953-a278-f773245ee245/4DNFI5TSGDPR.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv)
Chen_2023_PMID36996812,4DNESID7GI8N,CNCCs with CTCF deletion at SOX9 promoter (steps #7-58),Chromatin tracing of Sox9 in CNCC,H9,in vitro differentiated cells,stem cell derived cell line,H9,None,Crispr deletion for CTCF binding site at SOX9 promoter,multiplexed FISH,2,2,2,4DNFICMQ1GXA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/272b5f7b-b7c4-49ef-bfed-d68fcb067e3c/4DNFICMQ1GXA.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv)
Chen_2023_PMID36996812,4DNESNIOLISN,CNCCs with CTCF deletion at E1.35 (steps #7-58),Chromatin tracing of Sox9 in CNCC,H9,in vitro differentiated cells,stem cell derived cell line,H9,None,Crispr deletion for CTCF binding site at E1.35,multiplexed FISH,2,2,1,4DNFIKB7G5HE,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7dafd951-42df-405f-89f5-dff2e9bdb8d8/4DNFIKB7G5HE.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv)
Chen_2023_PMID36996812,4DNESNIOLISN,CNCCs with CTCF deletion at E1.35 (steps #7-58),Chromatin tracing of Sox9 in CNCC,H9,in vitro differentiated cells,stem cell derived cell line,H9,None,Crispr deletion for CTCF binding site at E1.35,multiplexed FISH,2,2,2,4DNFI93ME446,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a6d2b1c8-497b-4f1d-84c9-3dd58857f3a7/4DNFI93ME446.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv)
Chen_2023_PMID36996812,4DNESEQDL9UR,CNCCs wt (steps #7-58),Chromatin tracing of Sox9 in CNCC,H9,in vitro differentiated cells,stem cell derived cell line,H9,None,None,multiplexed FISH,2,2,1,4DNFI6FI9J53,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/215b983e-a032-4936-98d7-0462fbb675fd/4DNFI6FI9J53.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv)
Chen_2023_PMID36996812,4DNESEQDL9UR,CNCCs wt (steps #7-58),Chromatin tracing of Sox9 in CNCC,H9,in vitro differentiated cells,stem cell derived cell line,H9,None,None,multiplexed FISH,2,2,2,4DNFIMISJKAP,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3001c851-2f5f-4ddf-af60-4835fbd36aed/4DNFIMISJKAP.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv)
Chen_2023_PMID36996812,4DNESWPT973M,CNCCs wt (steps #1-80),Chromatin tracing of Sox9 in CNCC,H9,in vitro differentiated cells,stem cell derived cell line,H9,None,None,multiplexed FISH,2,1,1,4DNFIQBBDIA6,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d7c49c25-8a48-4c65-bdda-f63df73042a9/4DNFIQBBDIA6.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv)
Chen_2023_PMID36996812,4DNESL3FF6MP,"ESCs wt, undifferentiated (steps #1-80)",Chromatin tracing of Sox9 in CNCC,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,2,1,1,4DNFI2979QSV,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/575a8bbf-e926-4776-a547-2febf8b84e07/4DNFI2979QSV.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv)
