paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types
Llimos_2022_PMID35440565,4DNESYNKYXQN,homozygous mutant (indel in chr17),Multiplexed FISH in lymphoblastoid cell line,B-lymphocyte,primary cells,primary cell,B-lymphocyte,None,None,multiplexed FISH,2,2,1,4DNFIG51R1QG,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7db09138-6467-437a-8f35-4ac974fb195b/4DNFIG51R1QG.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv) | FOF-CT - trace data (csv)
Llimos_2022_PMID35440565,4DNESYNKYXQN,homozygous mutant (indel in chr17),Multiplexed FISH in lymphoblastoid cell line,B-lymphocyte,primary cells,primary cell,B-lymphocyte,None,None,multiplexed FISH,2,2,2,4DNFIIHHT16W,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1d4060c1-13ef-4088-a3b5-40b90c048963/4DNFIIHHT16W.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv) | FOF-CT - trace data (csv)
Llimos_2022_PMID35440565,4DNESFAJCG4W,homozygous reference,Multiplexed FISH in lymphoblastoid cell line,B-lymphocyte,primary cells,primary cell,B-lymphocyte,None,None,multiplexed FISH,2,2,1,4DNFIZ37CGLR,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e1e963ad-5af5-4d7b-ab25-ddece8f531dd/4DNFIZ37CGLR.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv) | FOF-CT - trace data (csv)
Llimos_2022_PMID35440565,4DNESFAJCG4W,homozygous reference,Multiplexed FISH in lymphoblastoid cell line,B-lymphocyte,primary cells,primary cell,B-lymphocyte,None,None,multiplexed FISH,2,2,2,4DNFIXSTIVTW,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e898080d-3e8c-4f87-bd54-fd98e6e1d209/4DNFIXSTIVTW.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv) | FOF-CT - trace data (csv)
