paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types,readout_resolution,region_size,cell_type_detail,treatment_detail
Su_2020_PMID32822575,4DNESO41DW4D,DNA-MERFISH of 1041 genomic loci (alpha-amanitin treated),Genome-scale imaging in IMR90 cells,IMR-90,primary cells,primary cell line,IMR-90,alpha-amanitin treatment (100.0 Î¼g/mL),None,multiplexed FISH,3,1,1,4DNFIGJT3AN3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/aebd67c6-be00-4f4d-b9c3-348e3fe04639/4DNFIGJT3AN3.csv,FOF-CT - spot biological data (csv) | FOF-CT - DNA-spot/trace core (csv),30 kb per locus,"genome-scale (1041 loci, ~3 Mb spacing)",IMR-90,alpha-amanitin treatment (100.0 μg/mL)
Su_2020_PMID32822575,4DNES5C3XVFP,DNA-MERFISH + RNA-MERFISH of 1137 genes,Genome-scale imaging in IMR90 cells,IMR-90,primary cells,primary cell line,IMR-90,None,None,multiplexed FISH,6,1,1,4DNFIXMERLJQ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/117fc3ae-25ef-49a8-b44a-d516c323d859/4DNFIXMERLJQ.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot biological data (csv) | FOF-CT - RNA-spot (csv),30 kb per locus,genome-scale (1041 DNA loci + 1137 RNA species),IMR-90,None
Su_2020_PMID32822575,4DNES5S9ND9I,DNA-MERFISH of 1041 genomic loci,Genome-scale imaging in IMR90 cells,IMR-90,primary cells,primary cell line,IMR-90,None,None,multiplexed FISH,3,1,1,4DNFIZ4TAGXZ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f21e961f-95c6-44ec-beaa-ed21011f43ab/4DNFIZ4TAGXZ.csv,FOF-CT - spot biological data (csv) | FOF-CT - DNA-spot/trace core (csv),30 kb per locus,"genome-scale (1041 loci, ~3 Mb spacing)",IMR-90,None
